,airline,group
0,Lufthansa (Deutsche Lufthansa AG),LUFTHANSA
1,Lufthansa,LUFTHANSA
2,Norwegian Air Shuttle,NORWEGIAN
3,Turkish Airlines,TURKISH AIRLINES
4,easyJet,EASYJET
5,Air France,AIR FRANCE
6,easyJet Airline,EASYJET
7,Eurowings,EUROWINGS
8,Finnair,FINNAIR
9,Pegasus Airlines,PEGASUS AIRLINES
10,Austrian Airlines,AUSTRIAN
11,EasyJet,EASYJET
12,Condor,CONDOR
13,Swiss International Air Lines,SWISS
14,SunExpress,SUNEXPRESS
15,British Airways,BRITISH AIRWAYS
16,Ryanair,RYANAIR
17,Austrian,AUSTRIAN
18,Marabu Airlines,MARABU
19,Vueling Airlines,VUELING
20,SAS,SAS
21,TAP Air Portugal,TAP AIR PORTUGAL
22,airBaltic,AIRBALTIC
23,EasyJet Europe,EASYJET
24,Wizz Air,WIZZ AIR
25,Marabu,MARABU
26,SAS Scandinavian Airlines,SAS
27,Brussels Airlines,BRUSSELS AIRLINES
28,City Airlines,LUFTHANSA
29,KLM Royal Dutch Airlines,KLM ROYAL DUTCH AIRLINES
30,KLM,KLM ROYAL DUTCH AIRLINES
31,Emirates,EMIRATES
32,LOT Polish Airlines,LOT POLISH AIRLINES
33,easyJet Switzerland,EASYJET
34,AJet,AJET
35,Volotea,VOLOTEA
36,Royal Jordanian,ROYAL JORDANIAN
37,Avanti Air GmbH + Co. KG,AVANTI AIR GMBH + CO. KG
38,Lufthansa City Airlines,LUFTHANSA
39,LOT,LOT POLISH AIRLINES
40,Iberia Lineas Aereas de Espana,IBERIA
41,Swiss,SWISS
42,Sky Alps,SKY ALPS
43,GP  Aviation,GP  AVIATION
44,Corendon Airlines Europe,CORENDON
45,Air Serbia,AIR SERBIA
46,Sky Express,SKY EXPRESS
47,Vueling,VUELING
48,Aegean Airlines,AEGEAN AIRLINES
49,Danish Air Transport,DANISH AIR TRANSPORT
50,ITA Airways,ITA AIRWAYS
51,Aer Lingus,AER LINGUS
52,Wideroe Flyveselskap A/S,WIDEROE
53,Air Uniqon,AIR UNIQON
54,Wizz Air Malta,WIZZ AIR
55,Corendon Europe,CORENDON
56,Tunisair,TUNISAIR
57,DAT,DAT
58,Croatia Airlines,CROATIA AIRLINES
59,Iberia,IBERIA
60,Luxair,LUXAIR
61,Franconia Air Service GmbH,FRANCONIA AIR SERVICE GMBH
62,Freebird Airlines,FREEBIRD
63,Norwegian,NORWEGIAN
64,Sky Express SA,SKY EXPRESS
65,Corendon Airlines,CORENDON
66,Air Cairo,AIR CAIRO
67,Corendon,CORENDON
68,Freebird Europe,FREEBIRD
69,Freebird Airlines Europe,FREEBIRD
70,Wideroe,WIDEROE
