airport_location,standardized_location
Alicante,Alicante
Amman,Amman
Amsterdam,Amsterdam
Ankara,Ankara
Antalya,Antalya
Athen,Athen
Athens,Athen
Barcelona,Barcelona
Bari,Bari
Basel,Basel
Basle,Basel
Belgrad,Belgrad
Beograd,Belgrad
Bergen,Bergen
Bilbao,Bilbao
Bolzano,Bolzano
Bozen,Bozen
Brussels,Brussels
Brüssel,Brussels
Bucharest/Baneasa,Bucharest/Baneasa
Bukarest/Baneasa,Bucharest/Baneasa
Budapest,Budapest
Cagliari,Cagliari
Catania,Catania
Chania,Chania
Chisinau,Chisinau
Copenhagen,Copenhagen
Kopenhagen,Copenhagen
Dalaman,Dalaman
Danzig,Danzig
Dubai,Dubai
Dublin,Dublin
Dubrovnik,Dubrovnik
Dusseldorf,Dusseldorf
Düsseldorf,Dusseldorf
Eriwan Zvartnots,Yerevan Zvartnots
Yerevan Zvartnots,Yerevan Zvartnots
Faro,Faro
Florenz,Florenz
Frankfurt,Frankfurt
Friedrichshafen,Friedrichshafen
Fuerteventura,Fuerteventura
Funchal,Funchal
Gdansk,Gdansk
Gran Canaria,Gran Canaria
Graz,Graz
Helsinki,Helsinki
Heraklion,Heraklion
Hurghada,Hurghada
Ibiza,Ibiza
Istanbul Airport,Istanbul Airport
Porto,Porto
Istanbul/S.Gokcen,Istanbul/S.Gokcen
Izmir,Izmir
Jerez De La Frontera,Jerez De La Frontera
Jerez de la Frontera,Jerez De La Frontera
Kalamata,Kalamata
Malta,Malta
Korfu,Korfu
Kos,Kos
Kutaisi,Kutaisi
Lanzarote,Lanzarote
Larnaca,Larnaca
Lisbon,Lisbon
Lissabon,Lisbon
London/Gatwick,London/Gatwick
London/Heathrow,London/Heathrow
London/Stansted,London/Stansted
Luxembourg,Luxembourg
Luxemburg,Luxembourg
Madrid,Madrid
Mailand/Linate,Mailand/Linate
Milan/Linate,Mailand/Linate
Mailand/Malpensa,Mailand/Malpensa
Milan/Malpensa,Mailand/Malpensa
Malaga,Malaga
Manchester,Manchester
Marrakesch,Marrakesch
Monastir,Monastir
Munich,Munich
München,Munich
Neapel,Neapel
Nice,Nice
Nizza,Nice
Nuremberg,Nuremberg
Olbia,Olbia
Oslo,Oslo
Palma De Mallorca,Palma De Mallorca
Palma de Mallorca,Palma De Mallorca
Paris/Ch.De Gaulle,Paris/Ch.De Gaulle
Paris/Ch.de Gaulle,Paris/Ch.De Gaulle
Podgorica,Podgorica
Pristina,Pristina
Rhodes,Rhodes
Rhodos,Rhodes
Riga,Riga
Rijeka,Rijeka
Rom/Fiumicino,Rome/FCO
Rome/FCO,Rome/FCO
Saarbrücken,Saarbrücken
Salzburg,Salzburg
Skopje,Skopje
Sofia,Sofia
Split,Split
Stockholm,Stockholm
Stuttgart,Stuttgart
Tallinn,Tallinn
Tenerife,Tenerife
Teneriffa-Süd,Tenerife
Thessaloniki,Thessaloniki
Tirana,Tirana
Tuzla,Tuzla
Valencia,Valencia
Varna,Varna
Venedig,Venedig
Verona-Villafranca,Verona-Villafranca
Vienna,Vienna
Vilnius,Vilnius
Warsaw,Warsaw
Warschau,Warsaw
Wien,Vienna
Zadar,Zadar
Zagreb,Zagreb
Zakynthos,Zakynthos
Zurich,Zurich
Zürich,Zurich
